'Carrera','Sede','Grupo_Familiar','Medio_Transporte','Tiempo_Traslado','Influencia_Cercania','Cursando_Actualmente','Nivel_Cursado','Nivel_Terminado','Tipo_Colegio','Tipo_Titulo','Pedira_Beca','OS_Mutual','Trabajo','Relacion_Trabajo_Carrera','Tipo_Trabajo','Rama_Trabajo','Formal_Informal','Permanente_Temporario','Cantidad_Horas_Trabajadas','Tipo_Horarios','Horario_Trabajo','Posibilidad_Cambiar_Horario','Busca_Trabajo','Cantidad_Grupo_Familiar','Instruccion_Madre','Instruccion_Padre','Conocimiento_Idioma','Conocimientos_Procesador_Texto','Conocimientos_Planilla_Calculo','Conocimientos_Internet','INGRESANTE','ESTADO 1-2015'
43,6,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'NO','ABANDONO'
3,2,'1-Mi grupo familiar','2-En colectivo de media distancia',40,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',2,'Medio o Polimodal Completo','Medio o Polimodal Incompleto','34-Si','Intermedio','Intermedio','Bueno','SI','ACTIVO'
3,2,'1-Mi grupo familiar','2-En colectivo de media distancia',25,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','No contesta','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',6,'Medio o Polimodal Incompleto','Primario Completo','34-No','Avanzado','Intermedio','Intermedio','SI','ABANDONO'
3,1,'1-Mi grupo familiar','2-En tren',45,'4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',2,'Terciario Incompleto','Terciario Completo','34-Si','Intermedio','Intermedio','Intermedio','SI','ACTIVO'
43,6,'1-Mi grupo familiar','2-En colectivo de larga distancia',90,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',5,'Primario Completo','Primario Incompleto','34-Si','Intermedio','Intermedio','Avanzado','SI','ACTIVO'
5,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',25,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Cuenta Propista','21-Otras (especificar)','22-Informal','23-Temporario','24-Menos de 10 horas','25-Rotativos','26-Tarde','27-Siempre que sea necesario','No aplica',4,'Terciario Incompleto','Medio o Polimodal Completo','34-Si','Avanzado','Intermedio','Avanzado','SI','ACTIVO'
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',20,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',4,'Medio o Polimodal Completo','Medio o Polimodal Incompleto','34-No',,,,'SI','ABANDONO'
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',40,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',7,'Primario Incompleto','No contesta','34-No',,'Bueno','Bueno','SI','ACTIVO'
3,1,'1-Mi grupo familiar','2-En tren',60,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Privado','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'Medio o Polimodal Incompleto','Medio o Polimodal Completo','34-Si',,,,'SI','ACTIVO'
48,1,'1-Mi grupo familiar','2-En tren',50,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',10,'Medio o Polimodal Completo','Medio o Polimodal Completo','34-Si','Bueno','Bueno','Intermedio','SI','ABANDONO'
5,1,'1-Mi grupo familiar','2-En colectivo de media distancia',40,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',3,'Terciario Incompleto','No contesta','34-No','Intermedio','Intermedio','Intermedio','SI','ACTIVO'
43,6,'1-Mi grupo familiar','2-En colectivo de corta distancia',90,'No contesta','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Total','20-Trabajador Familiar','21-Educación','22-Informal','23-Permanente','24-Menos de 10 horas','25-Fijos','26-Tarde','27-Nunca','No aplica',7,'Terciario Incompleto','Universitario Completo','34-Si','Avanzado','Intermedio','Avanzado','SI','ACTIVO'
5,1,'1-Mi grupo familiar','2-En tren',45,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',5,'Terciario Completo','Medio o Polimodal Incompleto','34-Si','Bueno','Intermedio','Bueno','SI','ACTIVO'
3,13,'1-Mi grupo familiar','2-En colectivo de media distancia',30,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',4,'Medio o Polimodal Completo','Medio o Polimodal Completo','34-Si','Bueno','Bueno','Avanzado','SI','ACTIVO'
3,1,'1-Mi grupo familiar','2-En tren',120,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Trabajador Familiar','21-Comercio','22-Informal','23-Temporario','24-Menos de 10 horas','25-Rotativos','26-Tarde','27-Siempre que sea necesario','No aplica',5,'Terciario Completo','Medio o Polimodal Incompleto','34-No','Bueno','Intermedio','Bueno','NO','ABANDONO'
5,1,'1-Mi grupo familiar','2-En tren',45,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',4,'Terciario Completo','No contesta','34-Si','Bueno',,'Avanzado','SI','ABANDONO'
3,1,'1-Mi grupo familiar','2-En colectivo de media distancia',50,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',4,'Universitario Completo','Terciario Completo','34-Si','Intermedio','Intermedio','Intermedio','SI','ACTIVO'
8,1,'1-Mi grupo familiar','2-En tren',30,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',4,'Medio o Polimodal Incompleto','Medio o Polimodal Completo','34-Si','Bueno','Bueno','Intermedio','SI','ACTIVO'
3,4,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'SI','ACTIVO'
5,2,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'SI','ACTIVO'
3,2,'1-Mi grupo familiar','2-A pie',40,'4-Nada','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',3,'Primario Incompleto','Primario Incompleto','34-Si','Bueno','Bueno','Bueno','SI','ABANDONO'
3,2,'1-Mi grupo familiar','2-En tren',60,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',5,'Medio o Polimodal Completo','Medio o Polimodal Completo','34-Si','Intermedio','Intermedio','Intermedio','SI','ACTIVO'
2,1,'1-Mi grupo familiar','2-En colectivo de corta distancia',60,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',3,'Medio o Polimodal Incompleto','Primario Completo','34-No','Bueno','Intermedio','Intermedio','SI','ACTIVO'
2,1,'1-Mi grupo familiar','2-En colectivo de media distancia',120,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',9,'Medio o Polimodal Completo','Primario Completo','34-No','Intermedio','Intermedio','Intermedio','SI','ACTIVO'
3,1,'1-Mi grupo familiar','2-En bicicleta o moto',20,'4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Público','14-Bachiller','16-Si','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','22-Informal','23-Temporario','24-Menos de 10 horas','25-Fijos','26-Noche','27-Nunca','No aplica',3,'Medio o Polimodal Incompleto','Terciario Completo','34-Si','Intermedio','Intermedio','Avanzado','SI','ABANDONO'
25,1,'1-Mi grupo familiar','2-En colectivo de corta distancia',45,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Industrial','22-Informal','23-Temporario','24-De 11 a 24 horas','25-Rotativos','26-Mañana','27-Siempre que sea necesario','No aplica',5,'Terciario Completo','Primario Completo','34-Si','Intermedio','Intermedio','Intermedio','SI','ABANDONO'
3,2,'1-Mi grupo familiar','2-En tren',45,'4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',3,'Primario Completo','Primario Completo','34-Si','Bueno','Bueno','Bueno','SI','ACTIVO'
3,2,'1-Mi grupo familiar','2-En tren',40,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','No contesta','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',6,'Medio o Polimodal Incompleto','Medio o Polimodal Incompleto','34-No',,,'Bueno','SI','ABANDONO'
3,1,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'SI','ACTIVO'
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',40,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',5,'Medio o Polimodal Completo','Medio o Polimodal Completo','34-Si','Intermedio','Intermedio','Bueno','SI','ABANDONO'
3,3,'1-Mi grupo familiar','2-En colectivo de media distancia',45,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',4,'Universitario Completo','Medio o Polimodal Completo','34-Si',,,'Bueno','SI','ACTIVO'
3,2,'1-Mi grupo familiar','2-A pie',30,'4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',4,'Terciario Completo','Universitario Completo','34-Si','Intermedio','Intermedio','Avanzado','SI','ACTIVO'
8,1,'1-Mi grupo familiar','No contesta',15,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',6,'Primario Completo','Primario Completo','34-Si','Bueno','Bueno','Bueno','SI','ACTIVO'
3,1,'1-Mi grupo familiar','2-En colectivo de media distancia',60,'4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',6,'Primario Completo','Primario Completo','34-No','Bueno','Bueno','Bueno','SI','ACTIVO'
41,1,'1-Mi grupo familiar','2-A pie',30,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',5,'Terciario Completo','Universitario Completo','34-Si','Bueno','Bueno','Avanzado','SI','ABANDONO'
27,1,'1-Mi grupo familiar','2-En colectivo de media distancia',90,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Técnico','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',6,'Primario Completo','Primario Completo','34-Si',,,'Bueno','NO','ABANDONO'
3,3,'1-Mi grupo familiar','2-En bicicleta o moto',25,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Industrial','22-Formal','23-Permanente','24-De 25 a 48 horas','25-Fijos','26-Mañana','27-Siempre que sea necesario','No aplica',5,'Universitario Incompleto','Medio o Polimodal Completo','34-Si','Intermedio','Intermedio','Avanzado','SI','ABANDONO'
5,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',15,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',8,'Medio o Polimodal Completo','Medio o Polimodal Incompleto','34-No','Bueno','Intermedio','Bueno','NO','ABANDONO'
3,2,'1-Mi grupo familiar','2-En colectivo de media distancia',40,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',7,'No contesta','Primario Completo','34-No',,,'Bueno','SI','ABANDONO'
43,6,'1-Mi grupo familiar','2-En colectivo de corta distancia',70,'4-Nada','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',4,'Terciario Completo','Medio o Polimodal Incompleto','34-No','Avanzado','Avanzado','Avanzado','SI','ACTIVO'
3,2,'No contesta','No contesta',,'No contesta','6-Si','7-Medio/Polimodal','8-Primario','9-Público','14-Bachiller','16-Si','17-No','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','22-Informal','23-Temporario','24-Menos de 10 horas','25-Rotativos','26-Tarde','27-Sólo algunas veces','No aplica',5,'Primario Completo','Primario Completo','34-Si','Intermedio','Intermedio','Intermedio','SI','ABANDONO'
18,1,'1-Mi grupo familiar','2-En tren',90,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',6,'Primario Completo','Primario Completo','34-No','Bueno','Bueno','Bueno','SI','ABANDONO'
1,1,'1-Sola/o','2-A pie',15,'4-Nada','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',5,'Universitario Incompleto','Terciario Incompleto','34-Si',,,'Intermedio','SI','ACTIVO'
43,6,'No contesta','No contesta',,'No contesta','No contesta','No aplica','No contesta','No contesta','No contesta','No contesta','No contesta','No contesta','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',,'No contesta','No contesta','No contesta',,,,'SI','ACTIVO'
43,6,'1-Mi grupo familiar','2-A pie',90,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',6,'Medio o Polimodal Incompleto','Medio o Polimodal Incompleto','34-Si','Bueno','Bueno','Bueno','NO','ABANDONO'
5,2,'1-Mi grupo familiar','2-En colectivo de media distancia',60,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Otro (especificar)','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',3,'Primario Completo','Primario Completo','34-Si','Bueno','Bueno','Intermedio','SI','ABANDONO'
3,3,'1-Mi grupo familiar','2-En colectivo de corta distancia',40,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',3,'Medio o Polimodal Completo','Medio o Polimodal Completo','34-Si','Avanzado','Intermedio','Avanzado','SI','ACTIVO'
3,3,'1-Mi grupo familiar','2-A pie',15,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-Si','18-Si','19-Parcial','20-Trabajador Familiar','21-Comercio','22-Informal','23-Permanente','24-De 11 a 24 horas','25-Fijos','26-Tarde','27-Siempre que sea necesario','No aplica',3,'Universitario Incompleto','Medio o Polimodal Incompleto','34-Si','Bueno','Bueno','Intermedio','SI','ACTIVO'
5,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',50,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',4,'Primario Completo','Primario Completo','34-No',,,,'SI','ACTIVO'
3,1,'1-Mi grupo familiar','2-A pie',20,'4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',4,'Universitario Completo','Medio o Polimodal Incompleto','34-No','Intermedio','Bueno','Intermedio','SI','ABANDONO'
3,1,'1-Mi grupo familiar','2-A pie',20,'4-Poco','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',4,'Primario Completo','No contesta','34-Si','Bueno','Bueno','Avanzado','SI','ACTIVO'
27,1,'1-Mi grupo familiar','2-En colectivo de corta distancia',5,'4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',3,'Terciario Completo','Universitario Completo','34-Si','Intermedio','Bueno','Bueno','SI','ACTIVO'
25,1,'1-Mi grupo familiar','2-A pie',5,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-Si','19-Parcial','20-Trabajador Familiar','21-Comercio','22-Informal','23-Temporario','24-De 11 a 24 horas','25-Fijos','26-Tarde','27-Sólo algunas veces','No aplica',4,'Universitario Incompleto','No contesta','34-Si','Intermedio','Bueno','Avanzado','SI','ACTIVO'
17,1,'1-Mi grupo familiar','2-A pie',10,'4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',4,'Universitario Completo','Universitario Incompleto','34-Si','Avanzado','Avanzado','Avanzado','SI','ACTIVO'
3,3,'1-Mi grupo familiar','2-A pie',15,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',4,'Medio o Polimodal Incompleto','Primario Completo','34-Si','Intermedio','Intermedio','Intermedio','SI','ACTIVO'
3,3,'1-Mi grupo familiar','2-En bicicleta o moto',20,'4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Público','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',4,'Medio o Polimodal Completo','Primario Completo','34-No','Bueno',,'Bueno','SI','ACTIVO'
27,3,'1-Mi grupo familiar','No contesta',10,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',5,'Primario Completo','Medio o Polimodal Completo','34-Si',,,'Avanzado','SI','ABANDONO'
3,3,'1-Mi grupo familiar','2-A pie',30,'4-Poco','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',3,'Universitario Incompleto','Universitario Incompleto','34-Si','Avanzado','Intermedio','Avanzado','SI','ACTIVO'
5,2,'1-Mi grupo familiar','2-En tren',25,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Público','14-Otro (especificar)','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',4,'Medio o Polimodal Completo','Medio o Polimodal Completo','34-Si','Intermedio','Intermedio','Intermedio','SI','ACTIVO'
5,2,'1-Mi grupo familiar','2-A pie',15,'4-Nada','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',5,'Medio o Polimodal Completo','Medio o Polimodal Completo','34-Si','Bueno','Bueno','Avanzado','SI','ACTIVO'
2,1,'1-Mi grupo familiar','2-En tren',60,'4-Mucho','6-Si','7-Medio/Polimodal','8-Primario','9-Público','14-Bachiller','16-Si','17-Si','18-Si','19-Parcial','20-Obrero o Empleado','21-Comercio','22-Informal','23-Temporario','24-De 11 a 24 horas','25-Fijos','26-Noche','27-Sólo algunas veces','No aplica',6,'Terciario Incompleto','Medio o Polimodal Completo','34-No','Bueno','Bueno','Avanzado','NO','ABANDONO'
8,1,'1-Mi grupo familiar','2-En tren',60,'4-Poco','6-Si','7-Medio/Polimodal','8-Primario','9-Público','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',4,'Medio o Polimodal Completo','Primario Completo','34-No','Bueno','Bueno','Bueno','SI','ABANDONO'
2,1,'1-Mi grupo familiar','2-En colectivo de corta distancia',120,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',,'Terciario Completo','Medio o Polimodal Incompleto','34-Si','Intermedio','Bueno','Intermedio','SI','ACTIVO'
3,2,'1-Mi grupo familiar','2-A pie',20,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',4,'Primario Completo','Primario Completo','34-No',,,'Bueno','SI','ABANDONO'
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',20,'4-Poco','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',5,'Medio o Polimodal Incompleto','Universitario Completo','34-Si','Bueno','Bueno','Bueno','NO','ABANDONO'
5,2,'1-Mi grupo familiar','2-En tren',100,'4-Mucho','6-No','No aplica','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-Si',5,'Medio o Polimodal Completo','Primario Incompleto','34-Si','Bueno','Bueno','Avanzado','SI','ABANDONO'
3,2,'1-Mi grupo familiar','2-En colectivo de corta distancia',40,'4-Nada','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-Si','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',6,'Medio o Polimodal Incompleto','Medio o Polimodal Completo','34-Si','Intermedio','Intermedio','Intermedio','SI','ACTIVO'
17,1,'1-Mi grupo familiar','2-En bicicleta o moto',30,'4-Poco','6-Si','7-Medio/Polimodal','8-Primario','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',4,'Terciario Completo','Medio o Polimodal Completo','34-Si','Intermedio','Intermedio','Avanzado','SI','ACTIVO'
27,3,'1-Mi grupo familiar','2-En colectivo de media distancia',40,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Público','14-Técnico','16-Si','17-No','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','28-No',4,'Primario Completo','Primario Completo','34-Si','Intermedio','Bueno','Avanzado','NO','ACTIVO'
27,3,'1-Mi grupo familiar','2-En colectivo de media distancia',30,'4-Mucho','6-Si','7-Medio/Polimodal','8-Medio/Polimodal','9-Privado','14-Bachiller','16-No','17-Si','18-No','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No aplica','No contesta',6,'Medio o Polimodal Completo','Medio o Polimodal Incompleto','34-Si',,,'Avanzado','SI','ABANDONO'
